Date,Open,High,Low,Close,Adj Close,Volume
2018-05-22,79.059998,80.029999,79.059998,79.489998,69.349319,473100
2018-05-23,78.820000,79.430000,78.320000,79.269997,69.157372,367800
2018-05-24,79.129997,79.129997,78.209999,78.699997,68.660095,289500
2018-05-25,78.290001,78.529999,78.050003,78.209999,68.232597,226300
2018-05-29,77.440002,77.690002,76.309998,76.550003,66.784363,484200
2018-05-30,77.080002,77.500000,76.400002,77.480003,67.595726,361100
2018-05-31,77.760002,77.849998,76.889999,77.400002,67.525932,721000
2018-06-01,77.559998,77.699997,76.989998,77.349998,67.482315,296000
2018-06-04,77.720001,78.169998,77.529999,77.940002,67.997055,305300
2018-06-05,77.820000,77.820000,77.139999,77.690002,67.778946,308600
2018-06-06,78.360001,78.580002,78.099998,78.230003,68.250061,281500
2018-06-07,78.459999,78.809998,78.269997,78.540001,68.520508,254900
2018-06-08,78.709999,78.989998,78.379997,78.940002,68.869492,210200
2018-06-11,78.739998,78.790001,78.169998,78.269997,68.284958,267000
2018-06-12,78.389999,78.470001,77.860001,78.080002,68.119194,261600
2018-06-13,78.330002,78.599998,78.070000,78.339996,68.346024,237300
2018-06-14,78.529999,78.599998,77.580002,77.730003,67.813850,337200
2018-06-15,77.220001,77.529999,77.099998,77.330002,67.464867,424000
2018-06-18,76.860001,77.699997,76.849998,77.500000,67.613182,205400
2018-06-19,77.269997,77.449997,76.769997,77.019997,67.194427,301800
2018-06-20,77.260002,77.660004,77.099998,77.129997,67.290375,228000
2018-06-21,77.099998,77.529999,77.099998,77.300003,67.438690,245800
2018-06-22,77.599998,77.970001,77.430000,77.760002,67.840012,220900
2018-06-25,77.529999,77.529999,76.470001,76.699997,66.915245,252800
2018-06-26,76.709999,77.300003,76.459999,76.580002,66.810562,301500
2018-06-27,76.589996,77.070000,76.040001,76.110001,66.400520,290500
2018-06-28,76.290001,76.830002,76.209999,76.650002,66.871605,263900
2018-06-29,76.849998,77.389999,76.849998,77.260002,67.403809,290000
2018-07-02,76.760002,77.059998,76.330002,76.790001,66.993759,108200
2018-07-03,77.489998,77.699997,77.080002,77.339996,67.473595,225500
2018-07-05,77.540001,77.669998,77.190002,77.449997,67.569542,294400
